Effective date ,S&P 500 Energy ,S&P 500 Health Care ,S&P 500 Information Technology ,S&P 500 Communication Services ,S&P 500 Consumer Discretionary ,S&P 500 Consumer Staples ,S&P 500 Financials ,S&P 500 Industrials ,S&P 500 Materials ,S&P 500 Real Estate ,S&P 500 Utilities 
27/01/2011,-0.4483132,0.3017323,0.537193,-0.9098039,0.7690771,-0.9016985,0.8743714,0.5396483,-0.7143747,1.4914659,0.3508124
28/01/2011,-0.4934889,-1.7754022,-2.2772878,-2.1529207,-3.1519477,-1.0554875,-1.8413725,-1.8060116,-1.4808617,-1.7288802,-1.3308801
31/01/2011,2.5513379,0.1312551,0.654219,0.1375182,0.0989322,-0.2608347,0.9791362,0.926045,1.5922891,1.6473411,0.0932372
01/02/2011,1.8921006,1.810585,1.776734,1.2440423,1.2269102,0.7074365,2.1794291,1.5547343,2.8253782,0.5900401,1.092964
02/02/2011,-0.0378972,-0.3755264,0.2657033,-0.4547993,-0.2323076,-0.3695442,-0.891313,-0.2823441,-0.3007886,-0.0782105,-0.5160022
03/02/2011,0.0505488,0.1130826,0.0302192,0.9137544,1.160868,0.3842812,0.049217,-0.0220223,0.3832355,0.4618034,0.2222908
04/02/2011,-0.3049441,0.4921604,0.7552519,0.0238284,0.6605064,0.5259479,-0.0402486,0.2894994,0.0284299,-0.7479548,-0.5606555
07/02/2011,0.579175,-0.1471926,0.5719953,-0.1588184,0.5368683,0.1158979,1.5255906,0.9789464,0.5197125,0.8634901,0.669145
08/02/2011,-0.5398499,0.2492563,0.3898635,0.2704207,1.1833734,0.5523583,0.6654034,0.7364136,0.3312195,0.4747451,-0.0800098
09/02/2011,-1.1687865,-0.2085338,-0.2421473,0.4204014,0.5896534,0.1940726,-0.7354229,-0.0154226,-0.938041,0.1549187,-0.0615953
10/02/2011,0.9208238,0.0910893,-0.5129497,0.5371248,0.207274,-0.4464872,0,0.4041339,0.2560351,0.3557618,0.0862866
11/02/2011,-0.0380932,0.0481799,0.3337553,0.667819,0.9469636,0.5111463,1.3847239,0.7128372,0.4621184,0.8168927,-0.1847404
14/02/2011,2.1104397,0.3237198,0.153705,-0.4838836,-0.4034065,-0.4691755,0.0695955,-0.0579657,1.0329661,-0.0993732,-0.7958542
15/02/2011,-1.1249334,-0.0560015,-0.4466638,-0.2588032,0.1350135,0,-0.1956011,-0.3235752,-1.0503614,-0.1912924,0.3420398
16/02/2011,1.2599529,0.5016276,0.7638857,-0.3381035,0.8025682,0.2439346,0.5705326,0.3858757,1.1906684,0.3296535,-0.3408739
17/02/2011,0.8200504,0.3212446,0.1598392,0.2524655,0.1273885,0.7201578,-0.1039321,0.195247,0.8535758,-0.0993352,0.3109453
18/02/2011,0.5774648,0.2514092,-0.0569943,0.1101755,0.442112,0.2318065,0.2080805,0.3075237,-1.0203678,0.4206823,0
22/02/2011,-0.6599216,-1.4993929,-2.5844568,-1.6429526,-2.3813294,-0.7394137,-3.0930957,-2.8593978,-3.1645823,-1.2643766,-0.3347799
23/02/2011,1.9453402,-0.9647853,-1.3370487,-1.0310102,-1.4792228,-0.2395563,-0.410696,-1.7780139,-0.6684547,-0.848569,-0.3545658
24/02/2011,-1.3983234,0.3707312,0.3417586,-0.1938141,0.4840144,-0.3782895,-0.2286073,0.4135781,-0.5732563,-0.5212791,-0.3433423
25/02/2011,1.2113032,0.6200965,1.3268999,1.0033174,1.0583918,0.4259534,1.4152215,0.9219656,1.403802,1.8223056,0.5888249
28/02/2011,0.5715572,0.9029769,0.1470588,1.4820155,0.6355177,0.4208588,0.4651575,0.5462422,1.0382761,2.0124434,1.0462075
01/03/2011,-1.5292679,-0.6798024,-1.6898585,-1.6971898,-1.7495248,-0.4616594,-2.1827322,-2.1980767,-2.2958039,-3.1398238,-0.955257
02/03/2011,0.5001836,0.286081,0.4860354,0.4175701,0.3902407,-0.3486727,-0.6581617,0.4437492,0.2337229,-0.7851368,0.1555597
03/03/2011,1.5435482,1.9728598,1.6775594,0.1919232,1.6659589,1.0496782,2.1463902,2.3742173,1.9611925,1.739403,0.9505467
04/03/2011,-0.6409378,-0.0575178,-0.6775885,-0.7183335,-0.6940205,-0.4507889,-1.3194136,-1.1580255,-0.7228325,-1.2244898,-0.5723429
07/03/2011,-0.7313119,-0.8475685,-1.4018037,-0.0723531,-0.9738894,-0.2756358,-0.6662765,-0.8417879,-1.7482517,-0.740683,0.3589998
